tax_id,Order,Family,Species,Density_log10,SD_log10,Q2.5_log10,Q5_log10,Q25_log10,Q75_log10,Q95_log10,Q97.5_log10,Predicted_Density_n_km2,Q2.5,Q5,Q25,Q75,Q95,Q97.5
22691367,Columbiformes,Columbidae,Ptilinopus_magnificus,1.146351567,0.516119245,0.137192375,0.298315324,0.799140566,1.493658511,1.993077682,2.154610978,14.007,1.371,1.988,6.297,31.164,98.419,142.761
22691317,Columbiformes,Columbidae,Ptilinopus_marchei,1.038409762,0.517890958,0.029096927,0.185664297,0.690422351,1.38993796,1.886172833,2.0453641,10.925,1.069,1.533,4.903,24.544,76.944,111.011
22691558,Columbiformes,Columbidae,Ptilinopus_melanospilus,1.234186302,0.516276739,0.220770775,0.385265397,0.885716146,1.583435729,2.081264071,2.241806187,17.147,1.663,2.428,7.686,38.321,120.577,174.504
22691322,Columbiformes,Columbidae,Ptilinopus_merrilli,1.084997548,0.5136848,0.078660221,0.241865702,0.736553515,1.431557434,1.923239736,2.087720496,12.162,1.199,1.745,5.452,27.012,83.799,122.383
22691415,Columbiformes,Columbidae,Ptilinopus_monacha,1.284861063,0.518630255,0.284301722,0.434125442,0.933493596,1.634869469,2.145971698,2.308788451,19.269,1.924,2.717,8.58,43.139,139.95,203.605
22691554,Columbiformes,Columbidae,Ptilinopus_naina,1.345213378,0.515665462,0.332465372,0.495215196,1.000010081,1.691635576,2.192232652,2.354178005,22.142,2.15,3.128,10,49.163,155.68,226.036
22691327,Columbiformes,Columbidae,Ptilinopus_occipitalis,1.115698919,0.516011038,0.104750428,0.268911697,0.769746521,1.461578671,1.965806473,2.127913701,13.053,1.273,1.857,5.885,28.945,92.429,134.25
22728052,Columbiformes,Columbidae,Ptilinopus_ornatus,1.198072429,0.516325235,0.181264724,0.346675435,0.852713429,1.548927587,2.050264164,2.210563983,15.779,1.518,2.222,7.124,35.394,112.27,162.392
22691372,Columbiformes,Columbidae,Ptilinopus_perlatus,1.142100929,0.517290018,0.129441128,0.289266218,0.795058344,1.490990094,1.990116089,2.153152423,13.871,1.347,1.947,6.238,30.973,97.75,142.283
22691410,Columbiformes,Columbidae,Ptilinopus_perousii,1.205801686,0.517054402,0.190669302,0.363463058,0.851602395,1.557261194,2.056329432,2.234713446,16.062,1.551,2.309,7.106,36.08,113.849,171.678
22728066,Columbiformes,Columbidae,Ptilinopus_porphyraceus,1.235485121,0.515636676,0.21435374,0.387171542,0.874902663,1.589889087,2.060758107,2.231121482,17.198,1.638,2.439,7.497,38.895,115.016,170.263
22691297,Columbiformes,Columbidae,Ptilinopus_porphyreus,1.123855712,0.514507035,0.122332949,0.280702301,0.775935966,1.467412966,1.972227496,2.122722638,13.3,1.325,1.909,5.969,29.337,93.805,132.655
