Catalog #,Tissue #,Family - Full Name,Preparator #,Genus - Full Name,Species - Full Name,Country - Full Name,State - Full Name,County - Full Name,Locality,DecimalLatitude,DecimalLongitude,Collection Date,Preparations,Collection Object - Remarks,Collector (orig),Collectors - Last Name,Collectors - First Name,Collectors - Middle Initial,Specimen Attribute - Age,Age Category,Specimen Attribute - Bursa,Specimen Attribute - Fat,Specimen Attribute - Gonads,Specimen Attribute - Molt,Specimen Attribute - Sex,Skull Oss.
120900,29149,Pycnonotidae,CHO 1764,Criniger,ndussumensis,Democratic Republic of the Congo,Bas-Congo,,Luki Biosphere Reserve,-5.621,13.098,06/25/2012,Skin - 1; Tissue - 100,mature lowland forest,netted,,,,,,no,light,ovary mass 5 x 3 mm,"tail, breast, back",f,100%
120901,29130,Pycnonotidae,CHO 1757,Criniger,ndussumensis,Democratic Republic of the Congo,Bas-Congo,,Luki Biosphere Reserve,-5.621,13.098,06/24/2012,Skin - 1; Tissue - 100,mature lowland forest; reidentification from calurus made by Jacob Cooper in June 2017,netted,,,,,,5 x 3 mm,light,testes minute,back,m,10%
120902,29226,Pycnonotidae,CHO 1794,Criniger,ndussumensis,Democratic Republic of the Congo,Bas-Congo,,Luki Biosphere Reserve,-5.621,13.098,06/30/2012,Skin - 1; Tissue - 100,mature lowland forest,netted,,,,,,no,light,testes 1 x 1 mm,,m,100%
120903,29067,Pycnonotidae,CHO 1733,Criniger,calurus,Democratic Republic of the Congo,Equateur,,"Boende, 4.2 km north",-0.241,20.883,06/12/12,Skin - 1; Tissue - 100,primary forest,netted,,,,,,no,light,"egg, 22 x 14 mm, in oviduct",tail,f,100%
120904,29021,Pycnonotidae,MJA 1041,Criniger,calurus,Democratic Republic of the Congo,Equateur,,"Boende, 4.2 km north",-0.241,20.883,06/09/12,Skin - 1; Tissue - 100,primary forest,netted,,,,,,4 x 2 mm,trace,ovary mass 5 x 3 mm,no,f,50%
120907,29069,Pycnonotidae,MJA 1068,Baeopogon,clamans,Democratic Republic of the Congo,Equateur,,"Boende, 4.2 km north",-0.241,20.883,06/12/12,Skin - 1; Tissue - 100,primary forest,netted,,,,,,no,no,testes 4 x 2 mm,no,m,100%
120917,29077,Pycnonotidae,MJA 1073,Eurillas,virens,Democratic Republic of the Congo,Equateur,,"Boende, 4.2 km north",-0.241,20.883,06/14/2012,Skin - 1; Tissue - 100,primary forest,netted,,,,,,no,no,testes 8 x 6 mm,body,m,100%
120918,29084,Pycnonotidae,YJNU 3,Eurillas,virens,Democratic Republic of the Congo,Equateur,,"Boende, 4.2 km north",-0.241,20.883,06/14/2012,Skin - 1; Tissue - 100,primary forest,netted,,,,,,no,light,ovary mass 10 x 5 mm,no,f,100%
120919,29023,Pycnonotidae,MJA 1042,Eurillas,virens,Democratic Republic of the Congo,Equateur,,"Boende, 4.2 km north",-0.241,20.883,06/09/12,Skin - 1; Tissue - 100,primary forest,netted,,,,,,no,light,testes 7 x 4 mm,no,m,100%
120920,29015,Pycnonotidae,CHO 1711,Eurillas,virens,Democratic Republic of the Congo,Equateur,,"Boende, 4.2 km north",-0.241,20.883,06/09/12,Skin - 1; Tissue - 100,primary forest,netted,,,,,,no,light,testes 6 x 5 mm,no,m,100%
120921,29036,Pycnonotidae,MJA 1052,Eurillas,virens,Democratic Republic of the Congo,Equateur,,"Boende, 4.2 km north",-0.241,20.883,06/10/12,Skin - 1; Tissue - 100,primary forest,netted,,,,,,no,no,"ovary mass 7 x 4 mm, lg. ovum 2 mm",no,f,100%
120930,29791,Pycnonotidae,CHO 1800,Chlorocichla,falkensteini,Democratic Republic of the Congo,Bas-Congo,,Luki Biosphere Reserve,-5.621,13.098,06/30/2012,Skin - 1,forest edge garden,netted,,,,,,3 x 3 mm,light,ovary mass 4 x 2 mm,rump,f,60%
120931,29237,Pycnonotidae,MJA 1163,Chlorocichla,falkensteini,Democratic Republic of the Congo,Bas-Congo,,Luki Biosphere Reserve,-5.621,13.098,06/30/2012,Skin - 1,forest edge garden,netted,,,,,,no,no,testes 2 x 1 mm,body,m,100%
120941,29132,Pycnonotidae,CHO 1758,Eurillas,virens,Democratic Republic of the Congo,Bas-Congo,,Luki Biosphere Reserve,-5.621,13.098,06/24/2012,Skin - 1; Tissue - 100,mature secondary forest,netted,,,,,,no,light,testes 2.5 x 2 mm,no,m,100%
120942,29140,Pycnonotidae,TL 1,Eurillas,virens,Democratic Republic of the Congo,Bas-Congo,,Luki Biosphere Reserve,-5.621,13.098,06/24/2012,Skin - 1; Tissue - 100,mature secondary forest,netted,,,,,,no,moderate,testes 2 x 2 mm,no,m,100%
120943,29119,Pycnonotidae,MJA 1099,Eurillas,virens,Democratic Republic of the Congo,Kinshasa,,Mona Paradis Jardin Botanique,-4.483,15.356,06/20/2012,Skin - 1; Tissue - 100,botanical garden,netted,,,,,,no,light,testes 2 x 2 mm,no,m,100%
120944,29117,Pycnonotidae,CHO 1751,Eurillas,virens,Democratic Republic of the Congo,Kinshasa,,Mona Paradis Jardin Botanique,-4.483,15.356,06/20/2012,Skin - 1; Tissue - 100,botanical garden,netted,,,,,,no,light,testes 3 x 2 mm,"light on breast, neck",m,100%
120945,29177,Pycnonotidae,LKN 1,Eurillas,virens,Democratic Republic of the Congo,Bas-Congo,,Luki Biosphere Reserve,-5.621,13.098,06/26/2012,Skin - 1; Tissue - 100,mature lowland forest,netted,,,,,,no,,testes 5 x 4 mm,no,m,100%
120946,29122,Pycnonotidae,MJA 1100,Eurillas,latirostris,Democratic Republic of the Congo,Bas-Congo,,Luki Biosphere Reserve,-5.621,13.098,06/23/2012,Skin - 1; Tissue - 100,mature lowland forest,netted,,,,,,no,,ovary mass 6 x 4 mm,heavy wing & tail,f,100%
120947,29123,Pycnonotidae,CHO 1754,Eurillas,latirostris,Democratic Republic of the Congo,Bas-Congo,,Luki Biosphere Reserve,-5.621,13.098,06/23/2012,Skin - 1; Tissue - 100,mature lowland forest,netted,,,,,,3 x 2 mm,moderate,testes 1 x 1 mm,wing,m,90%
120948,29162,Pycnonotidae,CHO 1769,Eurillas,latirostris,Democratic Republic of the Congo,Bas-Congo,,Luki Biosphere Reserve,-5.621,13.098,06/26/2012,Skin - 1; Tissue - 100,mature lowland forest,netted,,,,,,no,light,ovary mass 4 x 2.5 mm,"tail, wings, crown",f,100%
