Unique.Specimen.Identifier,Family,Order1,Sequence,Specimen.number,Source,Sex,Locality,Country,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand.wing.Index,Tail.Length,Sample.Number,Measurer,Avonet.Protocol.Used,Protocol.both.pairs,Protocol.neither.pair
Microtarsus eutilotus_1935.10.22.344,Pycnonotidae,PASSERIFORMES,NA,1935.10.22.344,NHMUK,M,"River Tinjar, Mt. Dulit, Sarawak",Malaysia,19.4,11.9,4.5,5.52,19.39,97,NA,NA,NA,87,1,JAT,1,1,0
Microtarsus eutilotus_1935.10.22.344,Pycnonotidae,PASSERIFORMES,NA,1935.10.22.344,NHMUK,M,"River Tinjar, Mt. Dulit, Sarawak",Malaysia,19.69,12.01,4.43,5.5,19.01,97,18.42,78.58,NA,86,2,ER,1,1,0
Microtarsus priocephalus_1949.Whi.1.14546,Pycnonotidae,PASSERIFORMES,NA,1949.Whi.1.14546,NHMUK,F,NA,NA,14.5,7.8,3.6,3.9,14.5,74,10.7,63.3,NA,76,1,CV,1,1,0
Microtarsus priocephalus_1949.Whi.1.14546,Pycnonotidae,PASSERIFORMES,NA,1949.Whi.1.14546,NHMUK,F,"Thattekad, KL",India,15.28,8.3,4.06,4.2,15.04,73,9.77,63.23,NA,76,2,ER,1,1,0
Neolestes torquatus_1947.80.48,Pycnonotidae,PASSERIFORMES,NA,1947.80.48,NHMUK,F,NA,NA,15,7.5,3.6,4.5,19,71,9.7,61.3,NA,65,1,CS,1,1,0
Neolestes torquatus_1947.80.48,Pycnonotidae,PASSERIFORMES,NA,1947.80.48,NHMUK,F,Luluabourg,DRC,15.68,8,3.89,4.41,19.89,70,10.68,59.32,NA,67,2,ER,1,1,0
Neolestes torquatus_1956.35.36,Pycnonotidae,PASSERIFORMES,7768,1956.35.36,NHMUK,M,-,-,16.1,NA,4,4.6,19.5,70,NA,NA,NA,60,1,GT,0,0,0
Neolestes torquatus_1956.35.36,Pycnonotidae,PASSERIFORMES,7768,1956.35.36,NHMUK,M,"Kabambale, Kasai Province, Belgian Congo",NA,15.7,8,3.8,4.6,22,70.5,9.7,60.8,13.8,62,2,CS,1,0,0
Phyllastrephus cerviniventris_1936.7.2.127,Pycnonotidae,PASSERIFORMES,NA,1936.7.2.127,NHMUK,M,NA,NA,21.2,NA,3.8,4.5,19.9,84,NA,NA,NA,89,1,GT,1,1,0
Phyllastrephus cerviniventris_1936.7.2.127,Pycnonotidae,PASSERIFORMES,NA,1936.7.2.127,NHMUK,M,Kahe forest,United Republic of Tanzania,20.46,11.67,3.68,4.45,22.5,84,8.83,75.17,NA,88,2,ER,1,1,0
Phyllastrephus lorenzi_1984.10.10,Pycnonotidae,PASSERIFORMES,7819,1984.10.10,NHMUK,M,-,-,17.2,NA,3.6,4.2,20,69,NA,NA,NA,65,1,GT,0,0,0
Phyllastrephus lorenzi_1984.10.10,Pycnonotidae,PASSERIFORMES,7819,1984.10.10,NHMUK,M,"Kiloboze, Zaire",DRC,16.5,8.9,3.9,4,17.7,69,8.4,60.6,12.2,64,2,CV,1,0,0
Pycnonotus aurigaster_73.5.12.124,Pycnonotidae,PASSERIFORMES,7894,73.5.12.124,NHMUK,M,-,-,19.6,NA,4.5,5.4,21.7,93,NA,NA,NA,86,1,GT,0,0,0
Pycnonotus aurigaster_73.5.12.124,Pycnonotidae,PASSERIFORMES,7894,73.5.12.124,NHMUK,M,E Java,Indonesia,18.8,10,4.1,5.1,19.1,94,13.8,80.2,14.7,85,2,CV,1,0,0
Pycnonotus bimaculatus_1919.12.12.101,Pycnonotidae,PASSERIFORMES,7901,1919.12.12.101,NHMUK,M,"Banjoewangi, E Java",Indonesia,18.4,9.4,4.8,4.9,21.8,86,12.2,73.8,14.2,94,1,CV,1,0,0
